hour,user_3,user_4,user_5,user_6
2013-01-01 00,22.93741,2.8236315,105.46898,62.19512
2013-01-01 01,23.64865,1.4882084,130.58943,57.621952
2013-01-01 02,24.004267,2.606429,128.55692,44.370712
2013-01-01 03,22.93741,1.4670364,107.21545,48.47561
2013-01-01 04,22.581793,2.606429,104.57581,50.30488
2013-01-01 05,22.581793,2.606429,105.20954,43.3786
2013-01-01 06,22.403982,2.606429,82.31707,49.085365
2013-01-01 07,22.581793,2.606429,75.203255,42.784374
2013-01-01 08,23.115221,2.606429,73.17073,30.182926
2013-01-01 09,25.071123,3.040834,89.939026,27.439024
2013-01-01 10,29.694168,1.4775747,94.00407,33.23171
2013-01-01 11,32.656006,1.4994409,112.296745,47.256096
2013-01-01 12,38.584637,3.475239,129.57317,46.646343
2013-01-01 13,35.917496,3.6924415,120.42683,41.76829
2013-01-01 14,30.761023,4.3440485,96.544716,35.365852
2013-01-01 15,28.093884,4.3440485,91.46342,37.5
2013-01-01 16,26.671408,4.3440485,89.43089,38.719513
2013-01-01 17,25.782362,3.6924415,98.57723,52.743904
2013-01-01 18,32.402504,3.6924415,131.09756,55.182926
2013-01-01 19,26.493599,4.1268463,156.50406,64.63415
2013-01-01 20,27.382647,4.3440485,108.934235,78.35366
2013-01-01 21,26.671408,4.3440485,174.28862,85.97561
2013-01-01 22,25.071123,4.561251,175.30487,77.439026
2013-01-01 23,24.182077,3.6924415,153.45529,71.95122
2013-01-02 00,23.115221,3.475239,116.86992,43.855755
2013-01-02 01,32.29036,3.475239,107.72358,43.411713
2013-01-02 02,22.581793,3.475239,102.13415,48.780487
2013-01-02 03,22.226173,1.5291121,87.9065,52.43903
2013-01-02 04,22.403982,3.475239,80.28455,43.768894
2013-01-02 05,22.226173,3.475239,72.15447,46.951214
2013-01-02 06,22.93741,3.475239,80.79269,51.219513
2013-01-02 07,25.248934,3.475239,96.544716,49.390244
2013-01-02 08,29.16074,3.2580364,99.085365,43.067535
2013-01-02 09,30.405403,3.475239,101.11789,47.560974
2013-01-02 10,32.181355,3.909644,98.06911,60.97561
2013-01-02 11,32.005688,3.475239,106.554924,56.707317
2013-01-02 12,32.716927,3.475239,101.11789,58.536587
2013-01-02 13,31.472263,4.1268463,106.146866,44.12143
2013-01-02 14,31.472263,4.3440485,89.43089,56.09756
2013-01-02 15,28.271692,4.3440485,102.13415,60.97561
2013-01-02 16,27.204836,1.5154604,109.756096,59.756096
2013-01-02 17,26.849218,4.1268463,105.80915,43.91003
2013-01-02 18,28.627312,1.5157343,185.46748,81.70731
2013-01-02 19,30.405403,1.4534407,233.73984,82.62194
2013-01-02 20,32.894737,1.5245816,106.77701,81.402435
2013-01-02 21,32.413292,1.4568521,244.9187,75.914635
2013-01-02 22,26.13798,4.3440485,198.67886,72.560974
2013-01-02 23,24.715506,3.475239,107.79687,71.34146
2013-01-03 00,23.470839,1.5316397,122.45935,68.29269
2013-01-03 01,22.759602,1.5107284,101.626015,58.841465
2013-01-03 02,22.226173,1.4883388,108.73984,51.219513
2013-01-03 03,21.692745,3.475239,85.36585,53.658535
2013-01-03 04,22.226173,3.475239,81.808945,49.390244
2013-01-03 05,22.581793,1.5317945,82.8252,50.0
2013-01-03 06,23.826458,3.475239,104.28822,53.658535
2013-01-03 07,31.827883,3.475239,99.5935,42.819183
2013-01-03 08,32.894737,1.5017964,97.560974,49.695118
2013-01-03 09,28.80512,4.3440485,111.78862,50.0
2013-01-03 10,32.791885,4.3440485,105.60842,43.94259
2013-01-03 11,28.449503,4.3440485,84.349594,54.878048
2013-01-03 12,32.330612,4.3440485,89.939026,58.23171
2013-01-03 13,28.80512,1.5175991,90.955284,54.878048
2013-01-03 14,28.271692,4.3440485,81.30081,43.873745
2013-01-03 15,26.493599,4.3440485,90.44715,53.048782
2013-01-03 16,32.251328,4.3440485,101.626015,51.82927
2013-01-03 17,25.604551,1.5194242,120.93496,60.97561
2013-01-03 18,32.222263,4.3440485,158.02846,80.48781
2013-01-03 19,30.049788,4.3440485,207.31708,86.28049
2013-01-03 20,32.53912,4.561251,223.0691,83.231705
2013-01-03 21,28.982931,4.3440485,106.94805,44.395218
2013-01-03 22,25.96017,3.909644,197.15446,84.45122
2013-01-03 23,24.004267,3.475239,133.13008,79.87805
2013-01-04 00,22.93741,3.475239,106.86627,75.60976
2013-01-04 01,32.223057,3.475239,105.144005,43.499233
2013-01-04 02,32.389286,1.5322222,85.873985,54.878048
2013-01-04 03,22.226173,3.475239,73.67886,46.951214
2013-01-04 04,32.67919,3.475239,65.04065,44.817074
2013-01-04 05,22.403982,3.475239,72.15447,44.817074
2013-01-04 06,23.29303,3.475239,68.08943,44.207317
2013-01-04 07,32.005688,3.475239,104.166664,43.091164
2013-01-04 08,32.27659,3.909644,99.085365,47.865852
2013-01-04 09,32.831253,4.3440485,104.970245,52.134148
2013-01-04 10,30.761023,4.1268463,86.89024,60.060974
2013-01-04 11,30.227596,1.541737,75.203255,56.707317
2013-01-04 12,28.80512,3.475239,76.21951,43.21034
2013-01-04 13,29.338549,1.4884863,104.604126,53.353657
2013-01-04 14,27.738264,4.3440485,104.40898,46.646343
2013-01-04 15,26.493599,4.3440485,85.873985,42.987804
2013-01-04 16,26.31579,4.3440485,92.98781,41.15854
2013-01-04 17,26.671408,4.3440485,130.0813,61.890244
2013-01-04 18,32.402737,4.561251,192.07317,80.79269
2013-01-04 19,28.80512,4.561251,201.72765,90.85366
2013-01-04 20,30.227596,1.5109565,201.21951,84.45122
2013-01-04 21,28.449503,5.212858,190.04065,71.03659
2013-01-04 22,32.591164,4.3440485,198.67886,71.34146
2013-01-04 23,24.359886,1.4826063,162.60162,65.85366
2013-01-05 00,22.93741,1.4557065,136.17886,43.802643
2013-01-05 01,23.115221,1.4774729,109.756096,56.09756
2013-01-05 02,22.226173,3.475239,90.44715,50.30488
2013-01-05 03,32.287132,3.475239,84.349594,56.09756
2013-01-05 04,22.403982,1.5225308,76.727646,47.865852
2013-01-05 05,32.22423,1.506707,76.727646,42.68989
2013-01-05 06,22.759602,1.5217193,79.268295,56.707317
2013-01-05 07,23.29303,1.5188538,83.333336,52.743904
2013-01-05 08,25.782362,3.909644,96.544716,43.08579
2013-01-05 09,29.338549,4.995656,110.26423,53.353657
2013-01-05 10,34.672832,1.515554,123.98374,43.861305
2013-01-05 11,34.85064,1.50762,105.660515,56.09756
2013-01-05 12,38.406826,1.4975256,117.37805,61.585365
2013-01-05 13,35.73969,4.3440485,122.45935,50.609756
2013-01-05 14,32.24684,4.3440485,115.85366,66.15854
2013-01-05 15,31.29445,4.1268463,108.04972,69.20731
2013-01-05 16,29.51636,4.3440485,122.967476,43.78189
2013-01-05 17,28.093884,4.3440485,129.06505,79.87805
2013-01-05 18,32.27665,4.561251,182.92683,96.95122
2013-01-05 19,28.627312,4.7784534,109.82498,86.89024
2013-01-05 20,29.694168,4.561251,178.86179,45.39543
2013-01-05 21,27.382647,4.3440485,169.20732,80.18293
2013-01-05 22,25.604551,4.3440485,153.96341,73.17073
2013-01-05 23,24.359886,3.475239,146.8496,75.60976
2013-01-06 00,23.470839,3.475239,133.13008,65.243904
2013-01-06 01,23.29303,3.475239,119.9187,56.707317
